hubspot_campaign,platform,mapped_campaign,confidence_score
Africa - Loyalty - CAM 2026 (Mary),HeyReach,Mary CAM 2026 Loyalty,80%
Africa - Loyalty - CAM 2026 (Mary),HeyReach,Imelda CAM 2026 Loyalty,50%
Africa - Loyalty - CAM 2026 (Mary),HeyReach,Ahmad CAM 2026 - loyalty,50%
Africa - Loyalty - CAM 2026 (Mary),HeyReach,Roshaan CAM 2026 Loyalty ,50%
Africa - Loyalty - CAM 2026 (Roshaan),Smartlead,Africa CAM HR Roshaan,50%
Africa - Loyalty - CAM 2026 (Roshaan),Smartlead,Africa CAM Sales and marketing - Roshaan,50%
Africa - Loyalty - CAM 2026 (Roshaan),HeyReach,Roshaan CAM 2026 Loyalty ,80%
Africa - Loyalty - CAM 2026 (Roshaan),HeyReach,Mary CAM 2026 Loyalty,50%
Africa - Loyalty - CAM 2026 (Roshaan),HeyReach,Imelda CAM 2026 Loyalty,50%
Africa - Loyalty - CAM 2026 (Roshaan),HeyReach,Ahmad CAM 2026 - loyalty,50%
Africa - Loyalty - CAM 2026 (Roshaan),HeyReach,CAM - Roshaan,40%
Africa Non-BFSI CAM List Outreach,Smartlead,CAM List - BFSI,50%
AI Congress and Awards Mumbai Mumbai 2026,Smartlead,P3_EVNT_POSYEVNT_AI Congress and Awards Mumbai_VikasSanjeeda_Email,45%
Airlines API ,Smartlead,Airlines - Plum API - 5,67%
Airlines API ,Smartlead,Airlines - Plum API - 4,67%
Airlines API ,Smartlead,Airlines - Plum API - 3,67%
Airlines API ,Smartlead,Airlines - Plum API - 2,67%
Airlines API ,Smartlead,Airlines - Plum API - 1,67%
Airlines API ,Smartlead,Airlines API (2026) - KSA,50%
Airlines API ,Smartlead,Airlines API (2026) - GCC,50%
Airlines API ,Smartlead,Airlines API (2026) - Indonesia,50%
Airlines API ,Smartlead,Airlines API (2026) -Phillipines ,50%
Airlines API ,Smartlead,Airlines API (2026) - Africa - BATCH  1,40%
Airlines API ,Smartlead,Airlines API (2026) - USA - BATCH 3,40%
Airlines API ,Smartlead,Airlines API (2026) - USA - BATCH 2,40%
Airlines API ,Smartlead,Airlines API (2026) - USA - BATCH 1 ,40%
Airlines API ,Smartlead,Airlines API (2026) -India - BATCH 3 ,40%
Airlines API ,Smartlead,Airlines API (2026) -India - BATCH 2,40%
Airlines API ,Smartlead,Airlines API (2026) -India - BATCH 1,40%
Already Using a Solution – HR Profiles,Smartlead,Already using a Solution- HR profiles -INDONESIA- BATCH 2,71%
Already Using a Solution – HR Profiles,Smartlead,Already using a Solution- HR profiles -INDONESIA- BATCH 1,71%
Already Using a Solution – HR Profiles,Smartlead,Already using a Solution- HR profiles - PHILIPPINES - BATCH 2,71%
Already Using a Solution – HR Profiles,Smartlead,Already using a Solution- HR profiles - PHILIPPINES - BATCH 1,71%
Already Using a Solution – HR Profiles,Smartlead,Already using a Solution- HR profiles -AFRICA - BATCH 6,71%
Already Using a Solution – HR Profiles,Smartlead,Already using a Solution- HR profiles -AFRICA - BATCH 5,71%
Already Using a Solution – HR Profiles,Smartlead,Already using a Solution- HR profiles -AFRICA - BATCH 4,71%
Already Using a Solution – HR Profiles,Smartlead,Already using a Solution- HR profiles -AFRICA - BATCH 3,71%
Already Using a Solution – HR Profiles,Smartlead,Already using a Solution- HR profiles -AFRICA - BATCH 2,71%
