campaign_id,campaign_name,campaign_status,analytics_bounce_count,analytics_blocked_count,leads_pulled_count
2484451,dead-account-contacts-and-act - Product mentioned,COMPLETED,822,637,743
1570563,Job Change-Live Clients,COMPLETED,423,472,472
2700732,Nikunj's US Nurture Campaign  - US,COMPLETED,397,232,362
2705963,360 days activity data - Kushal,PAUSED,253,332,377
2419026,Contacts who were involved in the Deals,COMPLETED,223,200,248
2737901,Year End HR - India Q2 & Q3,COMPLETED,266,127,276
1880459,CAM 2025 India CXO'S,COMPLETED,171,156,170
2762811, -Labour Law campaign CSV-1,COMPLETED,197,106,200
2457217,Previous Diwali leads from Hubspot,COMPLETED,206,87,154
2607154,Christmas Reachout For Indonesia Region - Job Change data set 2,COMPLETED,168,118,168
2737743,Year End HR - US Q2 & Q3,COMPLETED,173,106,186
2652993,Contacts who were involved in the Deals - 2nd cycle,COMPLETED,228,50,100
2126697,Indian Journalists for Startups - Minu,COMPLETED,139,127,133
2414249,Diwali 500-5000 - other than VP and Director,COMPLETED,116,139,182
1849359,Job change Philippines,COMPLETED,91,135,155
1494665,No shows- India-Yash,COMPLETED,97,126,126
2300571,Naveen's pipeline - GCC,PAUSED,136,74,135
1650528,Job change leads Non Live Clients set 2,COMPLETED,82,113,113
2762852, -Labour Law campaign CSV-2 ,COMPLETED,130,64,132
2328975,ISS - Meeting No Show and Cancel - Meeting Create date before Dec 2024 - ROW,COMPLETED,121,73,114
2415157,"Diwali Campaign leads, HR & Procurement- India - 1",COMPLETED,117,64,121
2607157,Christmas Reachout For Philippines Region - Job Change data set 2,COMPLETED,105,66,105
2524325,Diwali HR data 2023 - CEO HR,PAUSED,101,68,109
2353015,Job Change Aug - US,COMPLETED,128,41,135
2303627,Pazcare India HR Not opened,PAUSED,104,65,109
2433279,Procurement data India,COMPLETED,85,81,91
2155064,Job change Data KSA - Set 2,COMPLETED,103,59,102
1673712,Nikunj's CAM Campaigns Set 2,COMPLETED,75,85,85
2599497,Job change Africa - 23.10.2025 - Sales and marketing,COMPLETED,128,24,129
2573030,Last Minute Diwali Outreach - Manoj Batch 3,COMPLETED,92,59,95
1664049,Market Research - Consultant,COMPLETED,78,69,69
2766020,Festive Gifting HR US Q2 & Q3,COMPLETED,130,16,130
2520317,dead-account-contacts given by kushal Batch 1,COMPLETED,69,60,72
2737998,Year End HR - South Africa Q2 & Q3,COMPLETED,87,41,93
2839064,USA - New Year Campaign- Fresh Start  - copy,PAUSED,64,59,80
2014605,Roshaan's no activity,COMPLETED,76,42,70
2745973,180-360 days activity Kushal,PAUSED,47,70,86
2548410,GCC Marketing Data 2nd cycle,COMPLETED,72,42,82
2331328,Building Material - Channel Incentive - US,COMPLETED,87,26,80
2548634,Job Change GCC - Sales and marketing,COMPLETED,74,38,79
2041367,Cross Border Companies_Timir,COMPLETED,71,41,51
2524300,Diwali HR data 2023 - Plum,PAUSED,66,45,72
2195125,US Contacts - Hello Xoxoday - Set 2,COMPLETED,62,46,66
1849295,FSI Data Indonesia - Marketing,COMPLETED,59,44,55
1888711,Ignyte Campaign US - Sales,COMPLETED,30,69,73
1663986,Marketing - Indonesia- Ramadan,COMPLETED,42,57,57
2194726,Kushal F2F Set 2 - US,COMPLETED,52,41,53
2835369,India - New Year Campaign- Fresh Start,PAUSED,40,46,50
1862631,Saudi Arabia - Ahmad - Empuls,COMPLETED,41,45,59
2541286,ruchi- HR,COMPLETED,49,36,50
2224178,Funding Set 3 - Africa,COMPLETED,54,31,53
2215356,Africa Prospects,COMPLETED,55,30,55
2631330,Job change Nov 2025 - US,COMPLETED,84,0,0
2516669,SAP Data - CEO HR,COMPLETED,52,32,63
2224182,Funding Set 3 - SEA,COMPLETED,47,36,47
1663990,Sales - Indonesia- Ramadan,COMPLETED,39,40,40
2352053,Job Change Aug - India,COMPLETED,48,29,52
2697705,Year End Campaign US - HR Q1,COMPLETED,48,27,49
2742990,SAP DC Campaign,COMPLETED,57,16,60
2599490,Job change Africa - 23.10.2025 - HR,COMPLETED,48,25,58
2328966,ISS - Meeting No Show and Cancel - Meeting Create date before Dec 2024 - India,COMPLETED,43,30,44
2198642,Africa Award campaign,COMPLETED,52,21,49
1990168,Martech-Data-US,COMPLETED,54,15,36
2607153,Christmas Reachout For Indonesia Region - Job Change data set 1 ,COMPLETED,46,22,49
2745953,90-180 days activity Kushal,PAUSED,33,34,46
2353126,Diwali Campaign - 08.08.2025,COMPLETED,43,22,52
2241717,HR- Engagement Isn't one -size fits-All - India Set 3,COMPLETED,22,43,49
2541107,Quirks 2025 data - Event,COMPLETED,36,26,36
2184078,San Francisco Data - Kushal F2F,COMPLETED,35,27,30
1664123,Market Research - Universities,COMPLETED,32,30,30
2328985,Resource Download Leads - ABM 2025 - CopyResource Download Leads - ABM 2025 - ROW,COMPLETED,38,23,38
2195113,US Contacts - Hello Xoxoday - Set 1,COMPLETED,32,28,35
2766051,Festive Gifting HR GCC,COMPLETED,45,14,50
2502456,Saudi Arabia - Ahmad - Cycle 2 - Empuls,COMPLETED,41,18,42
2241682,HR- Engagement Isn't one -size fits-All - India Set 1,COMPLETED,15,43,46
2318817,Pazcare Webinar,COMPLETED,35,22,43
2281701,KSA Marketing New Data,COMPLETED,39,17,39
2266061,Airlines - Plum API - 1,COMPLETED,29,26,36
2194710,Kushal F2F - San Diego - Set 2,COMPLETED,23,32,38
2516842,Salesforce - Generic,COMPLETED,32,22,40
2300497,Quirks Attendees List - Belinda,PAUSED,28,26,37
1911071,India Old Data - 09.05.25 set 3,COMPLETED,22,32,38
1626833,Women's day HR 2025,COMPLETED,4,49,49
2483414,Procurement Data above emp Size more than 3K in India,COMPLETED,34,18,31
2241850,HR- Engagement Isn't one -size fits-All - Africa set 1,COMPLETED,26,26,40
1990395,Corporate rewards-Data- US,COMPLETED,30,22,24
2765086,Events standard format Data - India,COMPLETED,33,17,34
2743025,SAP SIs Campaign,COMPLETED,32,18,23
2224170,Funding Set 3 - UAE,COMPLETED,33,17,34
1630501,ET Nextech Human Capital Summit 2025- Attendees,COMPLETED,16,34,34
2573395,500 below and below $500 data - Batch 1,COMPLETED,8,40,42
1663888,HR - Indonesia- Ramadan,COMPLETED,20,28,28
2241709,HR- Engagement Isn't one -size fits-All - India Set 2,COMPLETED,23,24,38
3020820,US CHRO - BATCH 1,PAUSED,34,12,41
2331325,Building Material - Channel Incentive - India,COMPLETED,28,18,28
1911035,India Old Data - 09.05.25 - Set 2,COMPLETED,17,29,34
1651126,Sales - GCC- Ramadhan,COMPLETED,23,23,23
2360581,2023 Repository - Africa Set 1 and Set 2 - HR Generic,COMPLETED,30,15,28
1827338,BFSI Loyal life data India- Marketing,COMPLETED,25,20,26
2765992,Festive Gifting HR US Q1,COMPLETED,43,1,43
2241898,HR- Engagement Isn't one -size fits-All - Africa set 2,COMPLETED,19,22,26
2765270,Events Data 2025 Apollo format- India,COMPLETED,28,12,28
2779977,Dead accounts Labour Law Campaign - HR,COMPLETED,26,13,27
2607156,Christmas Reachout For Philippines Region - Job Change data set 1,COMPLETED,26,11,26
1766684,Americas No shows,COMPLETED,0,37,37
2424477,"Diwali Campaign leads, HR & Procurement- India - 2",COMPLETED,26,10,26
2126853,Funded Companies - India,COMPLETED,19,17,20
2304065,Client List- Workplace by META - SEA,COMPLETED,24,11,25
2776196,Procurement Last Minute Festive Gifting - Batch 1,COMPLETED,24,9,23
2241919,HR- Engagement Isn't one -size fits-All - Africa set 3,COMPLETED,19,14,24
1529178,CAM List IT/ITES- Sales and Marketing,COMPLETED,16,17,17
1862677,Saudi Arabia - Ahmad - Loyalife,COMPLETED,15,17,20
2752108,Salesforce SIs - ROW,COMPLETED,25,6,16
1571069,ET Nextech Human Capital - Speakers,COMPLETED,14,17,17
2765271,Events Data 2025 Apollo format - US,COMPLETED,23,6,23
2279497,SAP POC's Data Global-  India,COMPLETED,20,9,20
2752065,Salesforce SIs - CST,COMPLETED,24,4,9
1827406,BFSI Loyal life data Africa - Marketing,COMPLETED,16,12,21
2548640,Job Change GCC - HR,COMPLETED,18,9,22
2481089,Procurement Heads (1k+ - 5k+) - 1,COMPLETED,11,16,20
2836192,Phillipines - New Year Campaign- Fresh Start ,COMPLETED,16,10,16
2752087,Salesforce SIs - EST,COMPLETED,22,4,11
2599301,Airline data Africa 2nd cycle,COMPLETED,16,10,17
2304054,Client List- Workplace by META - ROW,COMPLETED,18,8,18
2198360,GCC events 2024,COMPLETED,15,11,15
2516676,SAP - Sales and marketing,COMPLETED,17,8,17
2456816,Ashish - HR,COMPLETED,13,12,15
1862370,Saudi Arabia - Ahmad - Compass,COMPLETED,11,14,15
2997892,Already using a Solution- HR profiles - INDIA - BATCH 1,PAUSED,18,6,19
2354625,Xoxoday LI Followers - India,COMPLETED,14,10,16
2300722,Pazcare India HR Opens,PAUSED,11,13,20
2868654,Series C Funding - Existing Clients - India - batch 2,COMPLETED,13,10,14
2408993,Ankit bajaj campaign - Diwali,COMPLETED,15,8,14
2352039,Job Change Aug - SEA,COMPLETED,13,10,14
2893413,GCC HR and Procurement Batch 1,STOPPED,15,7,17
2598927,Christmas Reachout For Indonesia Region,COMPLETED,12,10,12
2283065,SAP List  - Mahima US -1,COMPLETED,16,6,18
1817960,SAP SIs Not opened - India,COMPLETED,7,15,17
1741129,US Contacts - no activity before 2023 - 1st Set,COMPLETED,10,12,14
1651081,HR - GCC- Ramadhan,COMPLETED,10,12,12
1611607,HR- 20k Data set- SEA,COMPLETED,11,11,11
2925007,KSA Ramadan Enriched - Batch 1 - copy,STOPPED,13,8,14
2866893,Series C Funding - Existing Clients - India,COMPLETED,7,14,16
2352016,Job Change Aug - GCC,COMPLETED,7,14,18
1488153,CAM List US,COMPLETED,10,11,11
2541297,ruchi - Sales and marketing,COMPLETED,13,7,13
2539767,Nandita - HR,COMPLETED,10,10,11
2360489,2023 Repository - Africa Set 1 and Set 2 - Electronics Channel Incentives,COMPLETED,14,6,14
2283080,SAP List  - Mahima - India 1,COMPLETED,13,7,14
1818491,SAP SIs Not opened - US,COMPLETED,8,12,14
2300505,Quirks Attendees List - Stella,PAUSED,8,11,12
1888473,Ignyte Campaign US - HR,COMPLETED,4,15,16
3146774,Carrots and Stakes - San Diego (30th April),ACTIVE,12,6,11
2245699,Ignyte Website Companies Data - GCC,COMPLETED,8,10,14
2051574,HR Data Indonesia - Set 2,COMPLETED,10,8,13
1861232,KSA Campaign - Reactivation,COMPLETED,9,9,9
1651101,Marketing - GCC- Ramadhan,COMPLETED,6,12,12
2924898,GCC Ramadan Enriched batch 1 - copy,STOPPED,12,5,14
2241786,HR- Engagement Isn't one -size fits-All - GCC set 2,COMPLETED,7,10,14
2191513,Kushal F2F - San Diego,COMPLETED,14,3,13
2051557,HR Data Indonesia - Set 1,COMPLETED,7,10,11
3175555,Srinidhi - Plum Outreach - SMB/Mid Market,ACTIVE,9,7,9
3054938,Middle East Tragedy Outreach,COMPLETED,12,4,12
2765085,Events standard format Data - US,COMPLETED,10,6,10
2460037,Ignyte Website Companies Data - GCC - September,COMPLETED,9,7,12
2418700,SEA CAM BFSI,COMPLETED,8,8,11
2354649,Visa 50 (1),COMPLETED,12,4,10
2241775,HR- Engagement Isn't one -size fits-All - GCC set 1,COMPLETED,7,9,12
