Company,Domain,Domain Source
Fusion CX,fusioncx.com,Cache
Staff Outsourcing Solution,staffoutsourcing.com,Manual/Web
Helpware,helpware.com,Cache
TTEC,ttec.com,Manual/Web
ePerformax,eperformax.com,Cache
Hexaware,hexaware.net,Cache
QBE,qbe.nl,Cache
Alorica,alorica.com,Cache
Foundever (formerly Sitel),foundever.com,Manual/Web
Genpact,genpact.com,Cache
Cognizant,cognizant.com,Cache
TELUS Digital,telusdigital.com,Cache
Conduent,conduent.com,Cache
IBM Philippines,ibm.com,Manual/Web
HGS (Hinduja Global Solutions),hgs.com,Cache
WNS Global Services,wns.com,Apollo-exact-majority-domain
Concentrix Clark/SME divisions (regional ops),concentrix.com,Manual/Web
NTT Data Philippines,nttdata.com,Manual/Web
Acquire BPO,acquire.ai,Cache
Cloudstaff,cloudstaff.com,Cache
Microsourcing,microsourcing.com,Cache
EMAPTA,emapta.com,Cache
Connext Global Solutions,connextglobal.com,Manual/Web
Booth & Partners,boothandpartners.com,Manual/Web
Outsourced (Outsourced Global),outsourced.ph,Manual/Web
SixEleven Global Services,sixelevenbpo.com,Manual/Web
Staff Domain Philippines,staffdomain.com,Manual/Web
HiredSupport,hiredsupport.com,Cache
Outforce,outforce.com.br,LOW CONFIDENCE guess - no clearly Philippines/Indonesia-relevant candidate exists
Staffwiz,staffwiz.com,Cache
Unity Communications,unity-connect.com,Cache
Global Sky,gsky.co,Cache
123Employee,123employee.com,Cache
Asticom Technology,asticom.com.ph,Cache
Teledirect (Singapore PH ops),,Unresolved + rebrand ambiguity
iQor Philippines,iqor.com,Cache
Transcom Worldwide Philippines,transcom.com,Manual/Web
Giga BPO,gigabpo.com,Manual/Web
CreaThink Solutions,creathink-solutions.com,Cache
WinSolutions,winsolutions.com,"LOW CONFIDENCE guess - 6 unrelated global candidates, picked most generic/global-facing"
DBOS (Dynamic Business Outsourcing Solutions),dbos.com.au,Manual/Web
Digital Minds BPO,digitalmindsbpo.com,Manual/Web
Logix BPO,logixbpo.com,Cache
Startek,startek.com,Cache
Kamel BPO,kamelbpo.com,Manual/Web
Guerilla Staffing Solution,guerillastaffingsolutions.com,Manual/Web
Deloitte,deloitte.com,Cache
Ernst & Young,ey.com,Cache
R1 RCM,r1rcm.com,Cache
Cotiviti,cotiviti.com,Cache
IQVIA,iqvia.com,Cache
ICON plc,iconplc.com,Manual/Web
Syneos Health,syneoshealth.com,Cache
Parexel,parexel.com,Cache
Cigna,thecignagroup.com,Cache
Aetna,aetna.com,Manual/Web
Humana,humana.com,Cache
Elevance Health,elevancehealth.com,Manual/Web
Century Pacific Food Inc.,centurypacific.com.ph,Apollo-exact
Republic Biscuit Corporation,rebisco.com.ph,Apollo-exact
Amkor Technology Philippines,amkor.com,Apollo-exact-majority-domain
Canon Business Machines Philippines,bmp.canon,Manual/Web
Nidec Philippines Corporation,nidec.com,LOW CONFIDENCE - using global parent domain; none of the 3 distinct Philippine Nidec subsidiaries had a domain in Apollo
RFM Corporation,rfmfoods.com,Manual/Web
Liwayway Marketing Corporation,oishi.com.ph,Apollo-exact
Fortrea (formerly Labcorp Drug Development),fortrea.com,Manual/Web - rebrand to Fortrea
