Company,Exclusion Status,Exclusion Reason
Fusion CX,OK to reach out,No match found in Account Mapping sheet (new account)
Staff Outsourcing Solution,OK to reach out,No match found in Account Mapping sheet (new account)
Helpware,OK to reach out,No match found in Account Mapping sheet (new account)
TTEC,OK to reach out,No match found in Account Mapping sheet (new account)
ePerformax,OK to reach out,No match found in Account Mapping sheet (new account)
Hexaware,OK to reach out,No match found in Account Mapping sheet (new account)
QBE,OK to reach out,No match found in Account Mapping sheet (new account)
Alorica,OK to reach out,"OK to reach out - matched via client name match (Alorica), but Type 1 and Parent Company Status are both 'Dead'."
TaskUs,Excluded,"Excluded - matched via client name match (TaskUs). Type 1='Growth', Parent Company Status='Growth' (both must be 'Dead' to reach out)."
Sutherland Global Services,Excluded,"Excluded - matched via client name match (Sutherland Global Services). Type 1='Growth', Parent Company Status='Growth' (both must be 'Dead' to reach out)."
Foundever (formerly Sitel),OK to reach out,No match found in Account Mapping sheet (new account)
VXI Global Solutions,Excluded,"Excluded - matched via client name match (VXI Global Solutions). Type 1='Growth', Parent Company Status='Growth' (both must be 'Dead' to reach out)."
Genpact,OK to reach out,"OK to reach out - matched via client name match (Genpact), but Type 1 and Parent Company Status are both 'Dead'."
Cognizant,OK to reach out,"OK to reach out - matched via parent company match (Cognizant), but Type 1 and Parent Company Status are both 'Dead'."
TELUS Digital,OK to reach out,No match found in Account Mapping sheet (new account)
Capgemini,Excluded,"Excluded - matched via client name match (Capgemini). Type 1='Dead', Parent Company Status='Growth' (both must be 'Dead' to reach out)."
Infosys BPM,Excluded,"Excluded - matched via client name match (Infosys BPM). Type 1='Growth', Parent Company Status='Growth' (both must be 'Dead' to reach out)."
Conduent,OK to reach out,No match found in Account Mapping sheet (new account)
IBM Philippines,OK to reach out,No match found in Account Mapping sheet (new account)
HGS (Hinduja Global Solutions),OK to reach out,No match found in Account Mapping sheet (new account)
WNS Global Services,OK to reach out,"OK to reach out - matched via client name match (WNS Global Services), but Type 1 and Parent Company Status are both 'Dead'."
Concentrix Clark/SME divisions (regional ops),OK to reach out,No match found in Account Mapping sheet (new account)
24/7.ai,Excluded,"Excluded - matched via parent company match (24/7.ai). Type 1='Growth', Parent Company Status='Growth' (both must be 'Dead' to reach out)."
Sykes (now Foundever legacy ops),OK to reach out,No match found in Account Mapping sheet (new account)
TeleTech legacy (now TTEC expansion sites),OK to reach out,No match found in Account Mapping sheet (new account)
NTT Data Philippines,OK to reach out,No match found in Account Mapping sheet (new account)
Acquire BPO,OK to reach out,No match found in Account Mapping sheet (new account)
Cloudstaff,OK to reach out,No match found in Account Mapping sheet (new account)
Microsourcing,OK to reach out,No match found in Account Mapping sheet (new account)
EMAPTA,OK to reach out,No match found in Account Mapping sheet (new account)
Connext Global Solutions,OK to reach out,No match found in Account Mapping sheet (new account)
Booth & Partners,OK to reach out,No match found in Account Mapping sheet (new account)
Outsourced (Outsourced Global),OK to reach out,No match found in Account Mapping sheet (new account)
SixEleven Global Services,OK to reach out,No match found in Account Mapping sheet (new account)
Staff Domain Philippines,OK to reach out,No match found in Account Mapping sheet (new account)
HiredSupport,OK to reach out,No match found in Account Mapping sheet (new account)
Outforce,OK to reach out,No match found in Account Mapping sheet (new account)
Staffwiz,OK to reach out,No match found in Account Mapping sheet (new account)
Unity Communications,OK to reach out,No match found in Account Mapping sheet (new account)
Global Sky,OK to reach out,No match found in Account Mapping sheet (new account)
123Employee,OK to reach out,No match found in Account Mapping sheet (new account)
Asticom Technology,OK to reach out,No match found in Account Mapping sheet (new account)
Teledirect (Singapore PH ops),OK to reach out,No match found in Account Mapping sheet (new account)
iQor Philippines,OK to reach out,No match found in Account Mapping sheet (new account)
Transcom Worldwide Philippines,OK to reach out,No match found in Account Mapping sheet (new account)
Sitel Philippines (legacy Foundever sites),OK to reach out,No match found in Account Mapping sheet (new account)
Giga BPO,OK to reach out,No match found in Account Mapping sheet (new account)
CreaThink Solutions,OK to reach out,No match found in Account Mapping sheet (new account)
WinSolutions,OK to reach out,No match found in Account Mapping sheet (new account)
DBOS (Dynamic Business Outsourcing Solutions),OK to reach out,No match found in Account Mapping sheet (new account)
Digital Minds BPO,OK to reach out,No match found in Account Mapping sheet (new account)
Logix BPO,OK to reach out,No match found in Account Mapping sheet (new account)
Startek,OK to reach out,No match found in Account Mapping sheet (new account)
Kamel BPO,OK to reach out,No match found in Account Mapping sheet (new account)
Guerilla Staffing Solution,OK to reach out,No match found in Account Mapping sheet (new account)
eClerx,Excluded,"Excluded - matched via parent company match (eClerx). Type 1='Dead', Parent Company Status='Growth' (both must be 'Dead' to reach out)."
Deloitte,OK to reach out,"OK to reach out - matched via client name match (Deloitte), but Type 1 and Parent Company Status are both 'Dead'."
Ernst & Young,OK to reach out,No match found in Account Mapping sheet (new account)
KPMG,Excluded,"Excluded - matched via parent company match (KPMG). Type 1='Growth', Parent Company Status='Growth' (both must be 'Dead' to reach out)."
PwC,Excluded,"Excluded - matched via parent company match (PwC). Type 1='Dead', Parent Company Status='Growth' (both must be 'Dead' to reach out)."
R1 RCM,OK to reach out,No match found in Account Mapping sheet (new account)
Cotiviti,OK to reach out,No match found in Account Mapping sheet (new account)
IQVIA,OK to reach out,"OK to reach out - matched via client name match (IQVIA), but Type 1 and Parent Company Status are both 'Dead'."
ICON plc,OK to reach out,No match found in Account Mapping sheet (new account)
Syneos Health,OK to reach out,No match found in Account Mapping sheet (new account)
Parexel,OK to reach out,No match found in Account Mapping sheet (new account)
Labcorp Drug Development,OK to reach out,No match found in Account Mapping sheet (new account)
Cigna,OK to reach out,No match found in Account Mapping sheet (new account)
Aetna,OK to reach out,No match found in Account Mapping sheet (new account)
Humana,OK to reach out,No match found in Account Mapping sheet (new account)
Elevance Health,OK to reach out,No match found in Account Mapping sheet (new account)
