company_key,company_name,domain,linkedin,source,notes
deloitte,Deloitte,deloitte.com,http://www.linkedin.com/company/deloitte,Apollo-exact,
kpmglaw,KPMG Law,kpmg-law.de,http://www.linkedin.com/company/kpmg-law-germany,Apollo-exact,
unilever,Unilever,unilever.com,http://www.linkedin.com/company/unilever,Apollo-exact,
nhsengland,NHS England,england.nhs.uk,http://www.linkedin.com/company/nhsengland,Apollo-exact,
sapsuccessfactors,SAP SuccessFactors,sap-successfactors.com,http://www.linkedin.com/company/sap-successfactors-consultant,Apollo-exact,
google,Google,google.com,http://www.linkedin.com/company/google,Apollo-exact,
oracle,Oracle,oracle.com,http://www.linkedin.com/company/oracle,Apollo-exact,
swarovskiinternational,Swarovski International,swarovski.com,,Web Search,
fiveguyseurope,Five Guys Europe,fiveguys.co.uk,http://www.linkedin.com/company/five-guys-uk,Apollo-exact,
ipsosuk,Ipsos UK,ipsos.com,http://www.linkedin.com/company/ipsos-uk,Apollo-candidate,
pearson,Pearson,pearson.com,http://www.linkedin.com/company/pearson,Apollo-exact,
workday,Workday,workday.com,http://www.linkedin.com/company/workday,Apollo-candidate,
ukg,UKG,ukgltd.com,http://www.linkedin.com/company/ukgunite,Apollo-exact,
sage,Sage,sage.com,http://www.linkedin.com/company/sage-software,Apollo-exact,
sagepeople,Sage People,sage.com,,Web Search,
thesalvationarmyukireland,The Salvation Army UK & Ireland,salvationarmy.org.uk,http://www.linkedin.com/company/salvation-army-uk-ie,Apollo-candidate,
theaccessgroup,The Access Group,theaccessgroup.com,http://www.linkedin.com/company/accessgroup,Apollo-exact,
londonboroughofnewham,London Borough Of Newham,newham.gov.uk,,Web Search,
ukhealthsecurityagency,UK Health Security Agency,ukhsa.gov.uk,http://www.linkedin.com/company/uk-health-security-agency,Web Search,
deel,Deel,deel.com,http://www.linkedin.com/company/deel,Apollo-exact,
dayforceceridian,Dayforce (ceridian),dayforce.com,,Web Search,
irissoftwaregroup,IRIS Software Group,iris.co.uk,http://www.linkedin.com/company/iris-software-group,Apollo-exact,
londongatwick,London Gatwick,gatwickairport.com,,Web Search,
remote,Remote,remote.com,http://www.linkedin.com/company/remote.com,Apollo-exact,
rippling,Rippling,rippling.com,http://www.linkedin.com/company/rippling,Apollo-exact,
hubexo,Hubexo,hubexo.com,http://www.linkedin.com/company/hubexo-global,Apollo-candidate,
inrecruitingukzucchetti,Inrecruiting UK / Zucchetti,in-recruiting.com,,Web Search,
personio,Personio,audif1.com,http://www.linkedin.com/company/audi-revolut-f1-team,Apollo-exact,
wesleyan,Wesleyan,wesleyan.co.uk,http://www.linkedin.com/company/wesleyan,Apollo-exact,
macmillanpublishers,MacMillan Publishers,macmillan.com,,Web Search,
hrpath,HR Path,hr-path.com,http://www.linkedin.com/company/hr-path,Apollo-exact,
oneadvanced,OneAdvanced,oneadvanced.com,http://www.linkedin.com/company/one-advanced,Apollo-candidate,
hibob,HiBob,hibob.com,http://www.linkedin.com/company/hibob,Apollo-exact,
employmenthero,Employment Hero,employmenthero.com,http://www.linkedin.com/company/employment-hero,Apollo-exact,
channel4superstructentertainment,Channel 4 / Superstruct Entertainment,channel4.com,http://www.linkedin.com/company/channel-4,Apollo-exact,
visier,Visier,visier.com,http://www.linkedin.com/company/visier-analytics,Apollo-exact,
greenhouse,Greenhouse,greenhouse.com,http://www.linkedin.com/company/greenhouse-inc-,Apollo-exact,
zellis,Zellis,zellis.com,http://www.linkedin.com/company/zellisukltd,Apollo-exact,
personalgroup,Personal Group,personalgroup.com,http://www.linkedin.com/company/personal-group,Apollo-exact,
burgessalmon,Burges Salmon,burges-salmon.com,http://www.linkedin.com/company/burges-salmon-llp,Apollo-candidate,
bipo,Bipo,biposervice.com,http://www.linkedin.com/company/bipo-svc,Apollo-exact,
gattaca,Gattaca,gattaca.com,http://www.linkedin.com/company/gattacacom,Apollo-exact,
forgeholidaygroup,Forge Holiday Group,forgeholidays.com,http://www.linkedin.com/company/forge-holiday-group,Apollo-exact,
smartrecruiters,SmartRecruiters,smartrecruiters.com,http://www.linkedin.com/company/smartrecruiters,Apollo-candidate,
mhrinternational,MHR International,mhrinternational.com,http://www.linkedin.com/company/mhr-international,Apollo-exact,
wed2b,Wed2b,wed2b.com,http://www.linkedin.com/company/wed2b,Apollo-exact,
zoomo,Zoomo,ridezoomo.com,http://www.linkedin.com/company/ridezoomo,Apollo-exact,
grind,Grind,grind.co.uk,http://www.linkedin.com/company/shoreditch-grind,Apollo-exact,
nativeteams,Native Teams,nativeteams.com,http://www.linkedin.com/company/nativeteams,Apollo-exact,
workmotion,WorkMotion,workmotion.com,http://www.linkedin.com/company/workmotionglobal,Apollo-exact,
relocity,Relocity,relocity.com,http://www.linkedin.com/company/relocity,Apollo-exact,
savilleassessment,Saville Assessment,savilleassessment.com,http://www.linkedin.com/company/saville-assessment,Apollo-exact,
ciphr,Ciphr,ciphr.com,http://www.linkedin.com/company/ciphr,Apollo-exact,
zensai,Zensai,zensaisobe.com,http://www.linkedin.com/company/zen-sai,Apollo-exact,
ex3,Ex3,weareex3.com,http://www.linkedin.com/company/weareex3,Apollo-exact,
phase3,Phase 3,phase3.co.uk,http://www.linkedin.com/company/phase3,Apollo-exact,
recruitmentsmart,Recruitment Smart,recruitmentsmart.com,http://www.linkedin.com/company/recruitment-smart,Apollo-exact,
softworks,Softworks,softworks.com,http://www.linkedin.com/company/softworks-workforce-management-solutions,Apollo-exact,
oak,Oak,oak.com,,Web Search,
syneluk,Synel UK,synel.co.uk,http://www.linkedin.com/company/synel-industries-uk-ltd,Apollo-candidate,
ingentis,Ingentis,ingentis.co.nz,http://www.linkedin.com/company/ingentisltd,Apollo-exact,
silvercloud,Silver Cloud,silvercloudhr.co.uk,http://www.linkedin.com/company/silver-cloud-hr,Apollo-candidate,
businessdisabilityforum,Business Disability Forum,businessdisabilityforum.org.uk,http://www.linkedin.com/company/business-disability-forum,Apollo-exact,
centuroglobal,Centuro Global,centuroglobal.com,http://www.linkedin.com/company/centuroglobal,Apollo-exact,
cezanne,Cezanne,cezannehr.com,http://www.linkedin.com/company/cezanne-hr,Apollo-candidate,
acteoncommunicationandlearning,Acteon Communication And Learning,acteoncommunication.com,http://www.linkedin.com/company/acteon-communication-and-learning,Apollo-exact,
electriccircus,Electric Circus,electriccircus.co.uk,http://www.linkedin.com/company/electric-circus-digital,Apollo-exact,
foswaygroup,Fosway Group,fosway.com,,Web Search,
talentinitiative,Talent Initiative,talentinitiative.co.uk,http://www.linkedin.com/company/talent-initiative-uk,Apollo-exact,
pregnantthenscrewedgrowthspurt,Pregnant Then Screwed & Growth Spurt,pregnantthenscrewed.com,http://www.linkedin.com/company/pregnant-then-screwed,Apollo-exact,
magnisol,Magnisol,magnisol.com,http://www.linkedin.com/company/magnisol,Apollo-exact,
pebl,Pebl,hellopebl.com,http://www.linkedin.com/company/hellopebl,Apollo-exact,
skillvue,Skillvue,skillvue.ai,http://www.linkedin.com/company/skillvue,Apollo-exact,
uptime,Uptime,uptimeglobal.tech,http://www.linkedin.com/company/uptimeglobal,Apollo-exact,
vettinggateway,VettingGateway,vettinggateway.com,,Web Search,
storytagger,StoryTagger,storytagger.com,http://www.linkedin.com/company/storytagger,Apollo-exact,
cintriq,Cintriq,cintriq.com,http://www.linkedin.com/company/cintriq,Web Search,
hoogly,Hoogly,hoogly.ai,http://www.linkedin.com/company/hoogly,Apollo-exact,
rethinkhr,ReThink HR,rethinkhrconsult.com,http://www.linkedin.com/company/the-rethink-hr-project,Apollo-exact,
strategichracademy,Strategic HR Academy,joningham.academy,http://www.linkedin.com/school/strategic-hr-academy,Apollo-exact,
parentingoutloudequalparentingweek,Parenting Out Loud & Equal Parenting Week,parentingoutloud.com,http://www.linkedin.com/company/parenting-out-loud,Apollo-exact,
alicedarbyshire,Alice Darbyshire,alicedarbyshire.com,http://www.linkedin.com/company/alice-darbyshire-ltd,Apollo-exact,
balancebreathing,Balance Breathing,balancebreathing.nl,http://www.linkedin.com/company/academy-for-balance-breathing,Apollo-candidate,
armstrongpartners,Armstrong & Partners,armstrongpartners.co.uk,http://www.linkedin.com/company/armstrong-partners,Apollo-exact,
dockbay,Dock & Bay,dockandbay.com,,Web Search,
fusioncx,Fusion CX,fusioncx.com,http://www.linkedin.com/company/fusioncx-official,Apollo-exact,
helpware,Helpware,helpware.com,http://www.linkedin.com/company/helpware,Apollo-exact,
eperformax,ePerformax,eperformax.com,http://www.linkedin.com/company/eperformax,Apollo-exact,
hexaware,Hexaware,hexaware.net,http://www.linkedin.com/company/hexaware,Apollo-exact,
qbe,QBE,qbe.nl,http://www.linkedin.com/company/qbe_2,Apollo-exact,
telusdigital,TELUS Digital,telusdigital.com,http://www.linkedin.com/company/telus-digital,Apollo-exact,
conduent,Conduent,conduent.com,http://www.linkedin.com/company/conduent,Apollo-exact,
hgshindujaglobalsolutions,HGS (Hinduja Global Solutions),hgs.com,http://www.linkedin.com/company/hinduja-global-solutions-inc--,Apollo-exact,
hiredsupport,HiredSupport,hiredsupport.com,http://www.linkedin.com/company/hiredsupport,Apollo-exact,
staffwiz,Staffwiz,staffwiz.com,http://www.linkedin.com/company/staffwiz,Apollo-exact,
unitycommunications,Unity Communications,unity-connect.com,http://www.linkedin.com/company/unity-communications,Apollo-exact,
globalsky,Global Sky,gsky.co,http://www.linkedin.com/company/globalsky,Apollo-exact,
123employee,123Employee,123employee.com,http://www.linkedin.com/company/123employee,Apollo-exact,
asticomtechnology,Asticom Technology,asticom.com.ph,http://www.linkedin.com/company/asticominc,Apollo-exact,
iqorphilippines,iQor Philippines,iqor.com,http://www.linkedin.com/company/iqor,Apollo-exact,
logixbpo,Logix BPO,logixbpo.com,http://www.linkedin.com/company/logixbpo,Apollo-exact,
r1rcm,R1 RCM,r1rcm.com,http://www.linkedin.com/company/r1-rcm,Apollo-exact,
cotiviti,Cotiviti,cotiviti.com,http://www.linkedin.com/company/cotiviti,Apollo-exact,
syneoshealth,Syneos Health,syneoshealth.com,http://www.linkedin.com/company/syneos-health,Apollo-exact,
parexel,Parexel,parexel.com,http://www.linkedin.com/company/parexel,Apollo-exact,
cigna,Cigna,thecignagroup.com,http://www.linkedin.com/company/the-cigna-group,Apollo-exact,
humana,Humana,humana.com,http://www.linkedin.com/company/humana,Apollo-exact,
centurypacificfoodinc,Century Pacific Food Inc.,centurypacific.com.ph,http://www.linkedin.com/company/century-pacific-food-inc-,Apollo-exact,
republicbiscuitcorporation,Republic Biscuit Corporation,rebisco.com.ph,http://www.linkedin.com/company/republic-biscuit-corporation-rebisco-,Apollo-exact,
liwaywaymarketingcorporation,Liwayway Marketing Corporation,oishi.com.ph,http://www.linkedin.com/company/lmc-oishi,Apollo-exact,
alorica,Alorica,alorica.com,http://www.linkedin.com/company/alorica,Apollo-exact-majority-domain,
genpact,Genpact,genpact.com,http://www.linkedin.com/company/genpact,Apollo-exact-majority-domain,
cognizant,Cognizant,cognizant.com,http://www.linkedin.com/company/cognizant,Apollo-exact-majority-domain,
acquirebpo,Acquire BPO,acquirebpo.com,,Corrected - majority-vote pick (acquire.ai) was wrong per real verified employee email,
cloudstaff,Cloudstaff,cloudstaff.com,http://www.linkedin.com/company/cloudstaff,Apollo-exact-majority-domain,
microsourcing,Microsourcing,microsourcing.com,http://www.linkedin.com/company/microsourcing,Apollo-exact-majority-domain,
emapta,EMAPTA,emapta.com,http://www.linkedin.com/company/emaptaglobal,Apollo-exact-majority-domain,
creathinksolutions,CreaThink Solutions,creathink-solutions.com,http://www.linkedin.com/company/creathink-solutions,Apollo-exact-majority-domain,
startek,Startek,startek.com,http://www.linkedin.com/company/startek,Apollo-exact-majority-domain,
ernstyoung,Ernst & Young,ey.com,http://www.linkedin.com/company/ernstandyoung,Apollo-exact-majority-domain,
iqvia,IQVIA,iqvia.com,http://www.linkedin.com/company/iqvia,Apollo-exact-majority-domain,
wnsglobalservices,WNS Global Services,wns.com,http://www.linkedin.com/company/wns-global-services,Apollo-exact-majority-domain,
centurypacificfood,Century Pacific Food Inc.,centurypacific.com.ph,http://www.linkedin.com/company/century-pacific-food-inc-,Apollo-exact,
republicbiscuit,Republic Biscuit Corporation,rebisco.com.ph,http://www.linkedin.com/company/republic-biscuit-corporation-rebisco-,Apollo-exact,
amkortechnologyphilippines,Amkor Technology Philippines,amkor.com,http://www.linkedin.com/company/amkor-technology,Apollo-exact-majority-domain,
liwaywaymarketing,Liwayway Marketing Corporation,oishi.com.ph,http://www.linkedin.com/company/lmc-oishi,Apollo-exact,
